client_id,path,sentence
28b2715dcc6ce749da4b4e8158c88dc58f3395fa468e655cf9d72642db0b54e39d9af5ef576fa9860fe88cdb5d562369595fbbe41f1b583a3b7f1a834a0a01ec,common_voice_mr_37991861.mp3,टिळकांनी गीतेचा कर्मयोग असा अर्थ लावला आहे.
7d8d43e9b00ff0db814e3fb21a21e8f27d7f58e5d2305fef1af818ceef880c6df402130c06677f6c1de7b4c11b27dcaf0a24b145187a589bc4e40f61482e991d,common_voice_mr_31140512.mp3,गोविंदपंत व मीराबाई हे त्यांचे आजोबा आजी होत.
9321a50130e27fd1f0e3f69f392f4f6e8cf9a88031853fdee80b490d4465fc59b725e9cce7851b19129abd32c26b39a36526ad73cca1ad08ae53e04227751ba7,common_voice_mr_40543784.mp3,चेन्नईच्या मध्यभागातून कुम किंवा कुवम नदी आणि दक्षिण भागातून अद्यार नदी वाहाते.
e22932d9e22d1f68397689e3e74913eca6407ff000f0f53e0f7348ce058af1c21642904aef949e57ffc1a3fd4d3f7d5c0738294db047dd2a11fb56edccac91da,common_voice_mr_31309402.mp3,रावणाला संगीताची आवड होती.
222bc0ffe4e6c2be5ed73ec2578759db73d78ca0be68cf2bd72401aeb51940393ef21f5b475a9e90061bf0e3d4a554e05d35be6757bebcd0489eda056aff94ae,common_voice_mr_32121623.mp3,चारुता सागर दिनकर दत्तात्रेय भोसले
222bc0ffe4e6c2be5ed73ec2578759db73d78ca0be68cf2bd72401aeb51940393ef21f5b475a9e90061bf0e3d4a554e05d35be6757bebcd0489eda056aff94ae,common_voice_mr_32121632.mp3,खमंग वास येतोय.
222bc0ffe4e6c2be5ed73ec2578759db73d78ca0be68cf2bd72401aeb51940393ef21f5b475a9e90061bf0e3d4a554e05d35be6757bebcd0489eda056aff94ae,common_voice_mr_32121639.mp3,"हा पदार्थ बऱ्याचदा खाऱ्या, तिखटसर चवीचा बनवतात."
35b5d825204e2217afd0454e5d5d77a2d52f5049698a7a464c0bcd90b2c6f8e2461b10b8dc1fb42c1564874d3c80fac4fa1978f7f03d0847998e717d7de36a94,common_voice_mr_28376351.mp3,"अवध, लखनौ, बंगाल येथे अशी सस्थांने होती."
35b5d825204e2217afd0454e5d5d77a2d52f5049698a7a464c0bcd90b2c6f8e2461b10b8dc1fb42c1564874d3c80fac4fa1978f7f03d0847998e717d7de36a94,common_voice_mr_28376352.mp3,"अमरावती सीपना अभियांत्रिकी महाविद्यालय, अमरावती."
35b5d825204e2217afd0454e5d5d77a2d52f5049698a7a464c0bcd90b2c6f8e2461b10b8dc1fb42c1564874d3c80fac4fa1978f7f03d0847998e717d7de36a94,common_voice_mr_28376353.mp3,भीमाच्या अफाट ताकदीवर कृष्णाने टाकलेला विश्वास भीमाने सार्थ ठरवला.
35b5d825204e2217afd0454e5d5d77a2d52f5049698a7a464c0bcd90b2c6f8e2461b10b8dc1fb42c1564874d3c80fac4fa1978f7f03d0847998e717d7de36a94,common_voice_mr_28376350.mp3,"या साखळीत एखाद्या प्रामाणिक माणसाचा शिरकाव झाला की, ती तुटण्याची शक्यता असते."
718a692729296d03beb0648883859e2a152c84e7ea4af8ad59375135369960392e13d853c1e00e6c14f740d446a64727eef9f50a557d4e8a99ca4e79b83466e6,common_voice_mr_28710367.mp3,मुद्दा एवढाच की एकलव्याचे श्रीकृष्णाशी शत्रुत्व होते आणि हे शत्रुत्व गृहकलहामुळे निर्माण झाले होते.
718a692729296d03beb0648883859e2a152c84e7ea4af8ad59375135369960392e13d853c1e00e6c14f740d446a64727eef9f50a557d4e8a99ca4e79b83466e6,common_voice_mr_28710363.mp3,पदाचा राजीनामा देणारा हा अमेरिकी इतिहासातला एकमेव राष्ट्राध्यक्ष आहे.
718a692729296d03beb0648883859e2a152c84e7ea4af8ad59375135369960392e13d853c1e00e6c14f740d446a64727eef9f50a557d4e8a99ca4e79b83466e6,common_voice_mr_28710364.mp3,या उपायामळे फारसा बभ्रा न होता काम होऊन जातं.
718a692729296d03beb0648883859e2a152c84e7ea4af8ad59375135369960392e13d853c1e00e6c14f740d446a64727eef9f50a557d4e8a99ca4e79b83466e6,common_voice_mr_28710366.mp3,मोहनदास गांधी यांनी या मागणीला समर्थन देण्यास नकार दिला.
81ebc79e003ac77a5539e0edcb23cd90967a3e2062038b5e59d2b584ed35c1ad211a1c695d668844aed324a4347378729447226f921d5d057ef2a0994a1cbd22,common_voice_mr_30500606.mp3,याखेरीज खानोलकरांनी कोल्हटकरांच्या संकलित लेखांचा कोल्हटकर लेखसंग्रह या नावाचा संग्रहग्रंथही संपादला आहे.
